name,weightInGms,discountedSellInr,price_per_gram
"Ariel Matic Top Load Detergent Washing Powder",1000,225.00,0.23
"Britannia 50-50 Maska Chaska Biscuit",300,67.50,0.23
"Britannia Bourbon Chocolate Cream Biscuits",150,34.00,0.23
"Britannia Milk Bikis Cream Biscuit",200,45.00,0.23
"Britannia Nutri Choice Digestive Biscuit",200,45.00,0.23
"Britannia Nutri Choice Oats Choco Almond Biscuit",100,22.50,0.23
"Colin Glass and Surface Cleaner Liquid Spray Regular",250,58.00,0.23
"Dabur Ginger Garlic Paste",100,23.00,0.23
"Dabur Hommade Tamarind Paste",200,45.00,0.23
"Dabur Keora water - Authentic flavour for Biryani's and Desserts",250,58.00,0.23
"Dhara Kachi Ghani Mustard Oil Jar",5000,1143.00,0.23
"Durex Extra Thin Bubblegum Condom",580,135.00,0.23
"Gala Scrubber Pad",290,68.00,0.23
"ITC Master Chef Classic Aloo Tikki",320,72.00,0.23
"Maggi Hot & Sweet Tomato Chilli Sauce",500,115.00,0.23
"Mother's Recipe Paste Ginger & Garlic",300,68.00,0.23
"Parle Fab! Jam-In Cream Filled ",150,34.00,0.23
"Popular Essentials Buckwheat Flour (Kuttu Atta)",500,113.00,0.23
"Popular Essentials Dhania (Coriander Seeds)",200,46.00,0.23
"Praakritik Organic Masoor Dal",500,116.00,0.23
"Pril Perfect Lime Dishwash Liquid",750,175.00,0.23
"Quaker Oats Breakfast Cereals - With Flavour Mix Nutritious Rich Source Of Energy",200,45.00,0.23
"Scotch Brite Scrub Pad",290,68.00,0.23
"Scotch Brite Silver Sparks Scrub Pad",348,81.00,0.23
"Sunfeast Dark Fantasy Bourbon Bliss",150,35.00,0.23
"Sunfeast Dark Fantasy Vanilla Creme",300,68.00,0.23
"Veeba English Mustard",300,69.00,0.23
"Veeba Pasta And Pizza Sauce",280,65.00,0.23
"Vim Dishwash Liquid Gel Lemon",750,175.00,0.23
"24 Mantra Organic Pancharatna Dal - Split",500,120.00,0.24
"24 Mantra Organic Tur Dal - Split",500,120.00,0.24
"24 Mantra Organic Urad White Whole",500,122.00,0.24
"Amul Dark Compound Chocolate Slab",500,122.00,0.24
"Cadbury Oreo Creme Biscuit - Vanilla, Original 120 g",120,29.00,0.24
"Cadbury Oreo Strawberry Bicuits",120,29.00,0.24
"Ching's Secret Hot Garlic Instant Noodles",480,114.00,0.24
"Ching's Secret Manchurian Instant Noodle",480,114.00,0.24
"Ching's Secret Red Chilli Sauce",440,105.00,0.24
"Ching's Secret Schezwan Instant Noodle",480,114.00,0.24
"Dabur Ginger Garlic Paste",200,47.00,0.24
"Dabur Hommade - Garlic Paste",200,47.00,0.24
"Dabur Hommade - Ginger Paste",200,47.00,0.24
"Oleev Active Oil (Pouch)",1000,239.00,0.24
"Parle Fab!o Vanilla Creme Sandwich Biscuit",120,29.00,0.24
"RRO Primio Refined Groundnut Oil Pet Bottle",1000,239.00,0.24
"Sunfeast Farmlite 5 Seed Digestive",250,60.00,0.24
"Weikfield Falooda Mix - Kesar Pista",200,48.00,0.24
"Weikfield Falooda Mix - Mango",200,48.00,0.24
"24 Mantra Organic Moong Dal",500,125.00,0.25
"24 Mantra Organic Peanuts",500,125.00,0.25
"Amul Fresh Cream",250,63.00,0.25
"Ariel Matic Liquid Detergent Front Load",1000,250.00,0.25
"Ariel Matic Top Load Detergent Washing Powder",2000,499.00,0.25
"Britannia Good Day Nut Cookies",120,30.00,0.25
