name,weightInGms,weight_category
"Daawat Rozana Super Basmati Rice",1000,Medium
"Everest Cumin Powder (Jeera)",50,Low
"Everest Sambhar Masala",50,Low
"Maggi Chilly Chow Cuppa Noodles",70,Low
"Popular Essentials Mustard Seeds Rai Big",100,Low
"Patanjali Cow's Ghee",1000,Medium
"Everest Amchur Powder",50,Low
"Daawat Super Basmati Rice",1000,Medium
"Popular Essentials Sabudana",500,Low
"Popular Essentials Brown Sugar",500,Low
"Everest Coriander Powder",200,Low
"Sunfeast Yippee! Magic Masala Noodles",240,Low
"Tata Tea Gold",100,Low
"Daawat Rozana Gold Basmati Rice",1000,Medium
"Top Ramen Masala",560,Low
"Everest Turmeric Powder",200,Low
"Popular Essentials Buckwheat Flour (Kuttu Atta)",500,Low
"Keya Italian Pizza Oregano",80,Low
"Chef's Basket Durum Wheat Penne Pasta",500,Low
"Tata Sampann Kala Chana",1000,Medium
"India Gate Basmati Rice",1000,Medium
"24 Mantra Organic Whole Wheat Atta",1000,Medium
"Zorabian Chicken Kheema Parathas",300,Low
"Sunfeast Pasta Treat Pack of Tomato Cheese",65,Low
"Sugarlite 50% Less Calories Sugar Pouch",500,Low
"Popular Essentials Sabja/Basil Seeds",100,Low
"Patanjali Pure Honey",250,Low
"Weikfield Falooda Mix - Mango",200,Low
"Pro Nature Organic Sonamasoori Brown Rice",1000,Medium
"Maggi Special Masala Spicy Yummy Noodles",280,Low
"Godrej Yummiez Chicken Breakfast Salami",250,Low
"Everest Saffron Kesar",1,Low
"Mother Dairy Toned Milk Pouch",500,Low
"Mother Dairy Classic Curd",400,Low
"Mother Dairy Ultra Full Cream Milk",500,Low
"Amul Butter - Pasteurised",100,Low
"Britannia Sandwich White Bread",350,Low
"iD Curd Pouch",400,Low
"Britannia 100% Whole Wheat Bread",450,Low
"Britannia Healthy Slice Sandwich Bread",450,Low
"Gowardhan Classic Block Fresh Paneer",200,Low
"Amul Processed Cheese Cubes",200,Low
"Britannia Pav",250,Low
"Amul Butter - Pasteurised",500,Low
"Nestle A+ Nourish Dahi",200,Low
"Britannia Burger Bun with Sesame Seed",100,Low
"Amul Frozen Malai Paneer",200,Low
"iD Natural Paneer",200,Low
"Britannia Fruit Bun",100,Low
